relative_time,AccX,AccY,AccZ,DecibelSource
246423,9.233099670410157,2.508633270263672,4.477039947509766,61.83604335176384
246489,8.362510070800782,2.4340882873535157,4.4018962097167975,53.951725714075394
246561,8.328530731201173,2.604284362792969,4.991520080566406,63.65003251493975
246623,7.886200561523438,2.360142059326172,4.662953338623047,61.12942989682211
246689,8.774154052734376,2.482437744140625,4.765490112304688,64.83963237508365
246762,8.365653533935546,2.380499725341797,4.261787567138672,59.81294329724275
246823,8.459807739257814,2.435884552001953,4.2204734802246096,63.962895105257374
246889,8.401129760742188,2.592159576416016,4.211342468261719,59.044742636476535
246962,8.741372222900392,2.5628205871582033,4.171375579833985,64.33856844065635
247023,7.764054565429688,2.634222106933594,4.026925964355469,59.582560891980634
247089,8.172704772949219,2.6268873596191407,4.913083190917969,60.82077719610177
247162,9.013506317138672,2.658022613525391,4.90784408569336,60.50536352482599
247223,8.150550842285156,2.4474105834960938,4.071233825683594,61.36893299584269
247289,8.5406396484375,2.5689578247070313,4.713697814941407,66.86704178316096
247361,9.097631378173828,2.9362939453125003,4.710704040527344,65.75855175229931
247423,7.901169433593751,2.5605752563476565,4.001778259277344,60.393629527026505
247489,8.241112518310548,2.628683624267578,5.64790512084961,64.6789758806198
247561,8.367449798583985,2.789000244140625,4.812192993164063,65.54792999259939
247623,8.373137969970703,2.409239959716797,5.072052612304688,65.13269286028705
247689,8.794661407470704,2.651436309814453,5.20722152709961,61.727287066254554
247762,8.988807678222656,2.631976776123047,4.420607299804688,60.72824286681343
247823,8.635841674804688,2.7976821899414066,4.10311752319336,58.49852877611539
247889,7.803871765136719,2.62494140625,4.637506256103516,58.135422939412926
247962,8.932824096679688,2.7595115661621095,4.974156188964844,63.534778702650925
248023,8.169112243652345,2.574945373535156,4.08350830078125,64.36629461486919
248089,7.9451779174804695,2.745440826416016,4.329297180175781,61.334248911032965
248162,8.59138412475586,2.608924713134766,4.405339050292969,60.77832115970423
248223,8.33706298828125,2.5539889526367188,4.566703491210938,65.46664174905145
248289,8.350684661865234,2.8587551879882813,4.9195198059082035,66.38163363930404
248361,8.702602844238282,2.661615142822266,4.0125558471679685,68.36995107526108
248423,8.85483627319336,2.819985809326172,4.990472259521485,65.80325212545425
248489,8.506211242675782,2.6494903564453125,4.457281036376953,62.33394158185035
248558,8.097710723876954,2.468816070556641,3.852388916015625,65.6715475240527
248624,7.768395538330078,2.3822959899902343,4.659959564208985,66.07838962794843
248689,8.485404510498046,2.6423052978515624,4.606820068359375,66.62116774424729
248760,8.454568634033203,2.981649627685547,4.366719360351563,64.45992870744038
248823,8.706045684814454,2.555336151123047,3.830534362792969,61.49897437278763
248889,8.867859191894532,2.5345294189453127,4.271217956542969,63.49347669592185
248962,8.659941558837891,2.6192532348632813,4.437522125244141,58.487536407670426
249023,8.462202758789063,2.6996360778808595,4.359234924316406,59.54672730362664
249089,8.817563781738281,2.6071284484863284,4.824018402099609,57.90304872249742
249162,8.89360565185547,2.5667124938964845,4.045337677001953,59.762701752197536
249223,8.812773742675782,2.6027874755859375,5.133275299072266,63.97153919534742
249289,7.997568969726563,2.6969416809082034,4.710704040527344,63.152576859470024
249362,8.213719482421876,2.703827362060547,3.263962554931641,64.01789508186897
249423,8.535101165771485,2.5899142456054687,4.003275146484375,61.87313958732854
249489,8.519383850097658,2.574945373535156,5.176086273193359,55.36544555025941
249561,8.649762725830078,2.715652770996094,5.158123626708985,61.6770979503108
249623,8.31445999145508,2.6226960754394533,4.408931579589844,62.44026865395882
249689,8.614286499023438,2.7271788024902346,5.416935424804688,63.21475808323642
249761,8.163573760986328,2.578537902832031,4.348157958984375,64.25411935693316
249823,8.642577667236328,2.6632617187500003,3.7010536193847656,59.43120901562739
249889,8.845106506347657,2.5340803527832034,4.766837310791016,60.912324458216666
249958,7.439080352783203,2.5262965393066406,4.121529235839844,66.13441262078229
250023,8.127798156738281,2.8506719970703127,5.605543212890625,58.03808642617277
250089,8.2771875,2.927761688232422,5.767805786132813,58.71827950294968
250160,8.90752670288086,2.7866052246093753,3.396886138916016,65.83592748640852
250223,8.152496795654297,2.1869522094726563,4.507277069091797,62.96576348212895
250289,8.509803771972656,2.579136657714844,5.302872619628906,62.72053592685255
250363,8.660240936279298,2.5935067749023437,4.749024353027344,65.0885346748904
250423,8.312963104248047,2.645149383544922,5.015919342041016,58.8135669209941
250489,8.686137084960938,2.6649082946777347,5.060077514648437,61.91655258107798
250563,8.794362030029298,2.479893035888672,4.652624816894532,62.39758312212747
250623,8.54677688598633,2.618055725097656,3.9704933166503906,54.33334521543828
250689,9.294172668457032,2.6303302001953126,4.560416564941407,59.87742661865224
250758,8.484506378173828,2.691702575683594,4.178860015869141,62.817780777608064
250823,9.079668731689454,2.7167005920410157,4.996459808349609,60.594778379328595
250889,8.337362365722656,2.6206004333496096,4.460125122070313,61.99720081331851
250961,8.414751434326172,2.471809844970703,3.955973510742188,56.58844823659467
251023,8.245752868652344,2.4938140869140626,3.9305264282226564,63.04925035669876
251089,8.178243255615234,2.5303381347656253,4.489164733886719,64.94228501309487
251161,8.541537780761718,2.822081451416016,4.7135481262207035,60.22359489010471
251223,8.904532928466796,2.6562263488769533,5.311554565429688,60.146654194211074
251289,8.534053344726562,2.745440826416016,5.245841217041016,62.235839331412315
251362,8.962312774658203,2.6361680603027344,4.276307373046875,60.561800417459075
251423,8.285270690917969,2.3725662231445312,4.708758087158204,65.06508414747479
251489,8.760682067871095,2.642754364013672,5.265001373291016,61.88526891980349
251562,8.754544830322265,2.7101142883300784,3.8378691101074223,61.262207256626304
251623,8.551566925048828,2.5706044006347657,4.967569885253907,59.179264713374096
251689,9.076974334716798,2.672392730712891,4.578528900146485,62.573972721100674
251761,8.720415802001954,2.6676026916503908,4.398153991699219,58.51197787942263
251823,7.8606037902832036,2.4872277832031253,4.919220428466797,62.84891630970474
251889,8.145162048339845,2.651136932373047,4.6217889404296875,57.03595707597012
251961,8.379873962402344,2.8958779907226564,4.859045562744141,65.35779549416674
252023,8.961564331054689,2.53632568359375,4.001927947998047,61.193578507083956
252089,8.497828674316407,2.608775024414063,4.317920837402344,59.85627182230463
252162,8.4735791015625,2.604583740234375,4.489613800048828,62.14680957073017
252223,7.909252624511719,2.5345294189453127,4.71624252319336,57.42027186511895
252289,7.8411442565917975,2.6458978271484375,4.4595263671875,61.07735216078421
252359,8.418793029785157,2.504741363525391,4.563260650634766,54.97175770732231
252423,8.819060668945314,2.638862457275391,4.065246276855469,55.853219587133516
252489,8.465795288085937,2.521506500244141,3.6616854858398438,58.45352958087861
252562,8.045469360351563,2.4411236572265627,3.394640808105469,64.90496305999189
252623,7.268435211181641,2.4144790649414065,5.010380859375,64.40789792054251
252689,8.082592163085938,2.7235862731933596,4.739144897460938,66.04645128656337
252762,8.477021942138672,2.5801844787597656,4.250560913085938,67.10616897331063
252823,7.770042114257813,2.594853973388672,3.0597871398925784,61.21750524236998
252889,8.562943267822266,2.592159576416016,2.947221221923828,59.99355028301402
252961,8.006400604248046,2.0812719726562503,4.290677490234375,70.88666915175392
253023,9.172026672363282,2.6934988403320315,5.987997894287109,67.97729780279363
253089,8.539292449951173,2.8789631652832033,5.303022308349609,62.592452044959046
253161,8.387059020996094,2.6198519897460937,4.743785247802735,59.282206651437164
253223,8.088280334472657,2.520608367919922,4.517904968261719,57.76698278998883
253289,8.403824157714844,2.5502467346191406,4.384083251953125,63.60290399785712
253362,8.296197967529297,2.551743621826172,4.8103967285156255,59.527202967198406
253423,7.755372619628907,2.6134153747558595,4.505480804443359,63.81506942671606
253489,8.577313385009766,2.7731332397460937,5.508544921875,66.37028371879147
253557,7.8094102478027345,2.6411077880859377,4.852908325195313,70.49969167484139
253623,7.752378845214844,2.5460554504394532,4.508773956298828,63.550733833383084
253689,7.220534820556641,2.4233106994628906,4.300107879638672,68.25743705234584
253763,8.087681579589844,2.7904971313476565,5.156027984619141,68.04474943478218
253823,7.827522583007813,2.6002427673339845,4.905898132324219,65.33832662250775
253889,8.134534149169923,2.5737478637695315,5.129982147216797,69.03614677654902
253961,8.392447814941407,2.5689578247070313,3.9713914489746096,63.31611705975499
254023,8.35816909790039,2.4218138122558597,3.979324951171875,63.798250908696055
254089,8.537047119140626,2.708318023681641,4.45518539428711,62.68747117232165
254161,8.8088818359375,2.9138406372070316,5.134772186279297,64.53537572832377
254223,8.32269287109375,2.6746380615234377,5.105732574462891,57.243537078622495
254289,8.474776611328126,2.629432067871094,4.958588562011719,62.05285042087133
254362,8.51998260498047,2.5914111328125,3.9820193481445316,69.20956455585659
254423,7.795040130615234,2.4013064575195315,4.209097137451172,70.72755018091435
254489,8.106093292236329,2.6833200073242187,5.513334960937501,69.14957716931008
254562,8.260721740722657,2.720592498779297,4.379742279052735,60.54988973984946
254623,8.352929992675781,2.6060806274414063,4.759652252197266,68.22483809159567
254689,8.130342864990235,2.7476861572265627,4.320016479492188,68.12813992062091
254762,7.790549468994141,2.5965005493164064,4.301604766845704,66.62707129561886
254823,8.484207000732422,2.7336154174804688,5.022056579589844,60.3532965880125
254889,8.36146224975586,2.584974517822266,4.671186218261719,64.8433572055612
254958,8.336763610839844,2.4289988708496093,4.725672912597656,63.40233857490254
255023,7.7901004028320315,2.5376728820800785,3.755240936279297,70.18474556853796
255089,8.29919174194336,2.669249267578125,4.183799743652344,68.26049068369838
255162,8.786877593994141,2.6167085266113284,5.004393310546876,68.33466688611321
255223,8.944350128173829,2.635419616699219,5.486690368652344,70.92054906390833
255289,8.68089797973633,2.7168502807617188,4.414619750976563,63.46966812817289
255362,8.004155273437501,2.3728656005859374,3.6944673156738284,59.94057466388573
255423,8.087831268310547,2.588567047119141,4.666396179199219,72.55927289238149
255489,7.662415924072266,3.036735076904297,5.489833831787109,60.934570577077054
255562,8.958869934082031,2.449955291748047,3.2636631774902347,62.51171315877902
255623,9.137598266601563,2.560126190185547,3.8875657653808595,69.31059907210044
255689,8.546627197265625,2.6536816406250003,5.123096466064453,61.64920636844486
255762,8.82609603881836,2.934048614501953,4.705764312744141,68.16168425231263
255823,8.804391174316407,2.8729756164550784,5.242248687744141,65.420326452478
255889,8.296048278808595,2.639161834716797,4.10790756225586,61.02330436975484
255962,8.182584228515626,2.42136474609375,3.979474639892578,67.49203707905882
256023,8.24410629272461,2.388882293701172,4.274062042236328,72.48619320031378
256089,8.080646209716797,2.8419900512695313,5.130281524658203,67.27260175932125
256161,8.411009216308594,2.44531494140625,4.261637878417969,53.97682830206412
256223,8.700207824707032,2.592159576416016,4.0918908691406255,64.52290568944446
256289,9.056466979980469,2.6731411743164064,4.339476013183594,56.48372698050143
256361,8.507857818603515,2.724185028076172,4.760999450683594,65.71382464399491
256423,8.364755401611328,2.7054739379882813,3.6278558349609376,69.20219257192224
256489,8.713829498291016,2.5677603149414066,4.426295471191406,61.5148967079692
256561,8.61054428100586,2.6060806274414063,4.0600071716308594,61.68535784603843
256623,8.50561248779297,2.559078369140625,3.5604959106445313,69.10738458904423
256689,8.351732482910156,2.6168582153320314,4.455035705566407,59.59163073177468
256762,8.842561798095703,2.6432034301757814,4.84796859741211,68.13246499738713
256823,8.712631988525391,2.458188171386719,4.403243408203125,65.15298287121917
256889,8.64212860107422,2.5671615600585938,3.447031860351563,68.76524452809787
256962,8.49229019165039,2.634371795654297,4.603826293945313,64.80573600645711
257023,8.329728240966798,2.8240274047851566,4.428540802001954,64.79507072933666
257089,8.556207275390625,2.7460395812988283,4.793481903076172,62.17140584271735
257157,8.899742889404298,2.595003662109375,4.214635620117187,62.747257567378966
257223,8.618477783203126,2.4093896484375,3.716022491455078,67.87071348088202
257289,8.690328369140625,2.6207501220703127,4.655019836425781,69.17422948993875
257361,8.846753082275391,2.7378067016601566,4.483326873779297,58.62236957307574
257423,8.878038024902343,2.728825378417969,4.3613305664062505,70.81308666119999
257489,8.089777221679688,2.678679656982422,4.352049865722656,58.56238144347111
257561,8.756939849853516,2.701731719970703,4.3929148864746095,59.284665217878896
257623,8.509354705810548,2.562521209716797,4.688550109863281,66.21021237986388
257689,8.382268981933594,2.5741969299316407,4.38049072265625,65.51183850071482
257762,8.8088818359375,2.5572821044921876,3.363655242919922,67.27968103437321
257823,8.67955078125,2.4146287536621096,4.875211944580078,60.172049352328386
257889,8.763226776123048,2.7334657287597657,4.319118347167969,67.14875052115535
257962,8.000263366699219,2.5339306640625003,4.479884033203125,64.02857461622365
258023,8.620573425292969,2.5303381347656253,4.848717041015625,61.03459910923163
258089,8.12151123046875,2.621199188232422,4.078867950439453,54.3467107895101
258162,8.559949493408203,2.6420059204101562,4.872816925048828,60.7012434728083
258223,8.40981170654297,2.724185028076172,4.420158233642578,62.698105440922035
258289,8.816665649414062,2.5903633117675784,5.44672348022461,62.444010811920606
258362,8.087232513427734,2.6099725341796876,4.48153060913086,61.821220756892394
258423,8.542884979248047,2.6206004333496096,3.7919146728515627,65.50381980490849
258489,8.33317108154297,2.6276358032226566,4.047433319091797,61.61220317003216
258561,8.688382415771486,2.5635690307617187,5.284909973144532,62.898198609015914
258623,9.014554138183595,2.7159521484375,4.171375579833985,60.677554371506226
258689,8.02615951538086,2.3875350952148438,3.9178028869628907,65.61556438497934
258761,8.592282257080079,2.6470953369140626,4.432432708740235,65.26201729024267
258823,8.300239562988281,2.6339227294921876,4.266427917480469,60.33908848765064
258889,8.696166229248048,2.457140350341797,4.603826293945313,70.15841487936687
258962,7.917784881591797,2.4035517883300783,3.404520263671875,66.164305591948
259023,8.746910705566407,2.4477099609375,4.883893890380859,61.127437123400526
259089,8.719218292236329,2.8761190795898437,4.2803489685058596,65.66726257983913
